temps,x,y
0.0000,1,0
0.0001,0.999999605215824,0.0006283185307179586
0.0002,0.999998815647394,0.001256636813385557
0.0003,0.9999976312947879,0.0018849545999522388
0.0004,0.9999960521582396,0.00251327164236735
0.0005,0.9999940782381387,0.0031415876925802366
0.0006,0.9999917095350306,0.003769902502540342
0.0007,0.9999889460496167,0.004398215824197306
0.0008,0.9999857877827544,0.005026527409501063
0.0009,0.9999822347354564,0.0056548370104019365
0.0010,0.9999782869088919,0.0062831443788507425
0.0011,0.9999739443043856,0.006911449266798883
0.0012,0.9999692069234181,0.007539751426198447
0.0013,0.9999640747676258,0.008168050609002305
0.0014,0.9999585478388012,0.008796346567164208
0.0015,0.9999526261388925,0.00942463905263889
0.0016,0.9999463096700036,0.01005292781738216
0.0017,0.9999395984343945,0.010681212613351003
0.0018,0.999932492434481,0.011309493192503675
0.0019,0.9999249916728347,0.011937769306799805
0.0020,0.9999170961521829,0.01256604070820049
0.0021,0.9999088058754091,0.013194307148668396
0.0022,0.9999001208455524,0.01382256838016785
0.0023,0.9998910410658077,0.014450824154664945
0.0024,0.9998815665395261,0.015079074224127633
0.0025,0.9998716972702141,0.015707318340525824
0.0026,0.9998614332615343,0.01633555625583149
0.0027,0.9998507745173052,0.016963787722018748
0.0028,0.999839721041501,0.017592012491063975
0.0029,0.9998282728382518,0.018220230314945896
0.0030,0.9998164299118436,0.018848440945645684
0.0031,0.9998041922667181,0.019476644135147058
0.0032,0.9997915599074729,0.02010483963543638
0.0033,0.9997785328388615,0.020733027198502757
0.0034,0.9997651110657931,0.02136120657633813
0.0035,0.999751294593333,0.021989377520937388
0.0036,0.999737083426702,0.022617539784298448
0.0037,0.999722477571277,0.02324569311842236
0.0038,0.9997074770325906,0.02387383727531341
0.0039,0.9996920818163312,0.024501972006979213
0.0040,0.9996762919283431,0.025130097065430807
0.0041,0.9996601073746264,0.025758212202682762
0.0042,0.9996435281613371,0.02638631717075327
0.0043,0.9996265542947868,0.027014411721664234
0.0044,0.9996091857814431,0.027642495607441392
0.0045,0.9995914226279294,0.028270568580114386
0.0046,0.999573264841025,0.028898630391716883
0.0047,0.9995547124276648,0.029526680794286657
0.0048,0.9995357653949396,0.030154719539865694
0.0049,0.9995164237500961,0.030782746380500287
0.0050,0.9994966875005367,0.03141076106824114
0.0051,0.9994765566538195,0.032038763355143454
0.0052,0.9994560312176587,0.032666752993267045
0.0053,0.9994351111999241,0.03329472973467641
0.0054,0.9994137966086413,0.03392269333144087
0.0055,0.9993920874519916,0.034550643535634626
0.0056,0.9993699837383123,0.035178580099336866
0.0057,0.9993474854760964,0.03580650277463188
0.0058,0.9993245926739927,0.03643441131360916
0.0059,0.9993013053408055,0.037062305468363456
0.0060,0.9992776234854953,0.037690184990994934
0.0061,0.9992535471171782,0.03831804963360922
0.0062,0.999229076245126,0.03894589914831754
0.0063,0.9992042108787664,0.03957373328723678
0.0064,0.9991789510276827,0.040201551802489625
0.0065,0.9991532967016141,0.04082935444620462
0.0066,0.9991272479104556,0.04145714097051629
0.0067,0.9991008046642577,0.04208491112756522
0.0068,0.9990739669732268,0.042712664669498177
0.0069,0.9990467348477252,0.04334040134846819
0.0070,0.9990191082982707,0.04396812091663465
0.0071,0.9989910873355369,0.04459582312616341
0.0072,0.9989626719703532,0.04522350772922689
0.0073,0.9989338622137047,0.045851174478004166
0.0074,0.9989046580767322,0.04647882312468106
0.0075,0.9988750595707323,0.047106453421450256
0.0076,0.9988450667071572,0.04773406512051139
0.0077,0.9988146794976149,0.04836165797407115
0.0078,0.9987838979538691,0.04898923173434337
0.0079,0.9987527220878392,0.04961678615354913
0.0080,0.9987211519116002,0.05024432098391683
0.0081,0.9986891874373829,0.050871835977682356
0.0082,0.9986568286775739,0.0514993308870891
0.0083,0.9986240756447152,0.052126805464388096
0.0084,0.9985909283515049,0.052754259461838114
0.0085,0.9985573868107962,0.053381692631705766
0.0086,0.9985234510355985,0.05400910472626558
0.0087,0.9984891210390766,0.05463649549780012
0.0088,0.9984543968345512,0.055263864698600076
0.0089,0.9984192784354983,0.05589121208096436
0.0090,0.9983837658555498,0.05651853739720021
0.0091,0.9983478591084932,0.05714584039962327
0.0092,0.9983115582082717,0.05777312084055771
0.0093,0.998274863168984,0.058400378472336326
0.0094,0.9982377740048844,0.05902761304730061
0.0095,0.9982002907303832,0.059654824317800864
0.0096,0.9981624133600459,0.06028201203619632
0.0097,0.9981241419085938,0.06090917595485519
0.0098,0.9980854763909038,0.061536315826154805
0.0099,0.9980464168220085,0.06216343140248169
0.0100,0.9980069632170958,0.06279052243623169
0.0101,0.9979671155915096,0.06341758867981001
0.0102,0.9979268739607491,0.0640446298856314
0.0103,0.9978862383404692,0.06467164580612014
0.0104,0.9978452087464803,0.06529863619371026
0.0105,0.9978037851947484,0.06592560080084556
0.0106,0.9977619677013952,0.0665525393799797
0.0107,0.9977197562826978,0.06717945168357635
0.0108,0.9976771509550889,0.06780633746410926
0.0109,0.9976341517351567,0.06843319647406236
0.0110,0.997590758639645,0.06906002846592986
0.0111,0.9975469716854531,0.06968683319221633
0.0112,0.997502790889636,0.07031361040543682
0.0113,0.997458216269404,0.07094035985811696
0.0114,0.997413247842123,0.07156708130279305
0.0115,0.9973678856253145,0.07219377449201213
0.0116,0.9973221296366553,0.07282043917833214
0.0117,0.9972759798939779,0.07344707511432196
0.0118,0.9972294364152701,0.07407368205256151
0.0119,0.9971824992186753,0.07470025974564193
0.0120,0.9971351683224924,0.07532680794616554
0.0121,0.9970874437451758,0.07595332640674607
0.0122,0.9970393255053351,0.07657981488000867
0.0123,0.9969908136217358,0.07720627311859006
0.0124,0.9969419081132984,0.07783270087513858
0.0125,0.9968926089990992,0.07845909790231431
0.0126,0.9968429162983696,0.07908546395278922
0.0127,0.9967928300304968,0.07971179877924717
0.0128,0.9967423502150231,0.08033810213438407
0.0129,0.9966914768716464,0.08096437377090797
0.0130,0.9966402100202199,0.08159061344153914
0.0131,0.9965885496807522,0.08221682089901021
0.0132,0.9965364958734074,0.08284299589606621
0.0133,0.996484048618505,0.0834691381854647
0.0134,0.9964312079365197,0.08409524751997585
0.0135,0.9963779738480817,0.08472132365238258
0.0136,0.9963243463739764,0.0853473663354806
0.0137,0.9962703255351447,0.08597337532207855
0.0138,0.996215911352683,0.08659935036499809
0.0139,0.9961611038478426,0.08722529121707398
0.0140,0.9961059030420306,0.08785119763115419
0.0141,0.996050308956809,0.0884770693601
0.0142,0.9959943216138955,0.08910290615678608
0.0143,0.9959379410351628,0.08972870777410062
0.0144,0.995881167242639,0.0903544739649454
0.0145,0.9958240002585075,0.0909802044822359
0.0146,0.9957664401051071,0.09160589907890139
0.0147,0.9957084868049316,0.09223155750788503
0.0148,0.9956501403806303,0.09285717952214398
0.0149,0.9955914008550076,0.09348276487464947
0.0150,0.9955322682510233,0.09410831331838695
0.0151,0.9954727425917922,0.09473382460635611
0.0152,0.9954128239005846,0.09535929849157104
0.0153,0.9953525122008258,0.09598473472706032
0.0154,0.9952918075160964,0.09661013306586706
0.0155,0.9952307098701322,0.0972354932610491
0.0156,0.9951692192868242,0.09786081506567902
0.0157,0.9951073357902187,0.09848609823284427
0.0158,0.9950450594045168,0.09911134251564725
0.0159,0.9949823901540752,0.09973654766720545
0.0160,0.9949193280634054,0.10036171344065152
0.0161,0.9948558731571744,0.10098683958913333
0.0162,0.994792025460204,0.10161192586581416
0.0163,0.9947277849974713,0.1022369720238727
0.0164,0.9946631517941085,0.10286197781650322
0.0165,0.9945981258754029,0.10348694299691562
0.0166,0.9945327072667969,0.10411186731833554
0.0167,0.9944668959938879,0.10473675053400448
0.0168,0.9944006920824286,0.10536159239717988
0.0169,0.9943340955583266,0.10598639266113519
0.0170,0.9942671064476445,0.10661115107916003
0.0171,0.9941997247766,0.10723586740456025
0.0172,0.994131950571566,0.107860541390658
0.0173,0.9940637838590702,0.10848517279079188
0.0174,0.9939952246657956,0.10910976135831703
0.0175,0.9939262730185798,0.10973430684660518
0.0176,0.9938569289444158,0.1103588090090448
0.0177,0.9937871924704513,0.11098326759904116
0.0178,0.9937170636239891,0.11160768237001648
0.0179,0.9936465424324871,0.11223205307540995
0.0180,0.9935756289235579,0.11285637946867791
0.0181,0.9935043231249692,0.11348066130329387
0.0182,0.9934326250646435,0.11410489833274867
0.0183,0.9933605347706584,0.11472909031055055
0.0184,0.9932880522712464,0.11535323699022525
0.0185,0.9932151775947947,0.11597733812531608
0.0186,0.9931419107698457,0.11660139346938407
0.0187,0.9930682518250964,0.11722540277600806
0.0188,0.9929942007893988,0.11784936579878473
0.0189,0.9929197576917599,0.11847328229132878
0.0190,0.9928449225613412,0.119097152007273
0.0191,0.9927696954274593,0.11972097470026832
0.0192,0.9926940763195856,0.120344750123984
0.0193,0.9926180652673462,0.12096847803210764
0.0194,0.9925416623005221,0.12159215817834533
0.0195,0.992464867449049,0.12221579031642173
0.0196,0.9923876807430176,0.12283937420008015
0.0197,0.9923101022126732,0.12346290958308268
0.0198,0.9922321318884159,0.12408639621921026
0.0199,0.9921537698008004,0.12470983386226282
0.0200,0.9920750159805363,0.12533322226605934
0.0201,0.9919958704584878,0.1259565611844379
0.0202,0.9919163332656741,0.1265798503712559
0.0203,0.9918364044332687,0.12720308958039006
0.0204,0.9917560839926001,0.12782627856573653
0.0205,0.9916753719751512,0.12844941708121102
0.0206,0.9915942684125599,0.1290725048807489
0.0207,0.9915127733366185,0.12969554171830525
0.0208,0.9914308867792739,0.13031852734785498
0.0209,0.9913486087726279,0.13094146152339295
0.0210,0.9912659393489366,0.13156434399893405
0.0211,0.9911828785406109,0.1321871745285133
0.0212,0.9910994263802163,0.13280995286618594
0.0213,0.9910155829004728,0.1334326787660275
0.0214,0.9909313481342548,0.13405535198213397
0.0215,0.9908467221145916,0.13467797226862185
0.0216,0.9907617048746667,0.13530053937962822
0.0217,0.9906762964478185,0.1359230530693109
0.0218,0.9905904968675396,0.1365455130918485
0.0219,0.9905043061674773,0.13716791920144059
0.0220,0.9904177243814332,0.13779027115230763
0.0221,0.9903307515433634,0.13841256869869129
0.0222,0.9902433876873785,0.13903481159485434
0.0223,0.9901556328477438,0.13965699959508093
0.0224,0.9900674870588786,0.14027913245367654
0.0225,0.989978950355357,0.14090120992496816
0.0226,0.9898900227719072,0.14152323176330436
0.0227,0.9898007043434119,0.1421451977230554
0.0228,0.9897109951049085,0.14276710755861327
0.0229,0.9896208950915881,0.14338896102439191
0.0230,0.9895304043387969,0.1440107578748272
0.0231,0.9894395228820348,0.14463249786437707
0.0232,0.9893482507569565,0.14525418074752164
0.0233,0.9892565879993708,0.1458758062787633
0.0234,0.9891645346452407,0.14649737421262674
0.0235,0.9890720907306836,0.14711888430365916
0.0236,0.9889792562919713,0.14774033630643033
0.0237,0.9888860313655297,0.14836172997553262
0.0238,0.988792415987939,0.1489830650655812
0.0239,0.9886984101959335,0.14960434133121406
0.0240,0.9886040140264021,0.1502255585270921
0.0241,0.9885092275163874,0.15084671640789932
0.0242,0.9884140507030864,0.15146781472834284
0.0243,0.9883184836238504,0.15208885324315297
0.0244,0.9882225263161848,0.15270983170708338
0.0245,0.9881261788177489,0.1533307498749112
0.0246,0.9880294411663565,0.15395160750143702
0.0247,0.9879323133999752,0.1545724043414851
0.0248,0.9878347955567269,0.15519314014990337
0.0249,0.9877368876748877,0.15581381468156363
0.0250,0.9876385897928873,0.15643442769136157
0.0251,0.98753990194931,0.15705497893421688
0.0252,0.9874408241828937,0.15767546816507336
0.0253,0.9873413565325306,0.158295895138899
0.0254,0.9872414990372669,0.1589162596106861
0.0255,0.9871412517363026,0.15953656133545135
0.0256,0.987040614668992,0.16015680006823596
0.0257,0.9869395878748429,0.1607769755641057
0.0258,0.9868381713935176,0.161397087578151
0.0259,0.9867363652648319,0.16201713586548713
0.0260,0.9866341695287557,0.16263712018125423
0.0261,0.9865315842254129,0.16325704028061738
0.0262,0.986428609395081,0.16387689591876678
0.0263,0.9863252450781917,0.16449668685091776
0.0264,0.9862214913153304,0.16511641283231093
0.0265,0.9861173481472364,0.1657360736182123
0.0266,0.9860128156148026,0.16635566896391327
0.0267,0.985907893759076,0.16697519862473084
0.0268,0.9858025826212572,0.16759466235600767
0.0269,0.9856968822427008,0.16821405991311214
0.0270,0.9855907926649149,0.16883339105143852
0.0271,0.9854843139295616,0.16945265552640698
0.0272,0.9853774460784565,0.17007185309346376
0.0273,0.985270189153569,0.1706909835080812
0.0274,0.9851625431970223,0.17131004652575793
0.0275,0.9850545082510932,0.17192904190201888
0.0276,0.9849460843582122,0.1725479693924154
0.0277,0.9848372715609632,0.17316682875252537
0.0278,0.9847280699020843,0.1737856197379533
0.0279,0.9846184794244666,0.17440434210433042
0.0280,0.9845085001711551,0.17502299560731474
0.0281,0.9843981321853484,0.17564158000259122
0.0282,0.9842873755103987,0.1762600950458718
0.0283,0.9841762301898115,0.17687854049289556
0.0284,0.984064696267246,0.1774969160994287
0.0285,0.983952773786515,0.1781152216212648
0.0286,0.9838404627915848,0.1787334568142248
0.0287,0.9837277633265749,0.17935162143415717
0.0288,0.9836146754357585,0.1799697152369379
0.0289,0.9835011991635624,0.18058773797847064
0.0290,0.9833873345545664,0.18120568941468693
0.0291,0.9832730816535041,0.1818235693015461
0.0292,0.9831584405052624,0.18244137739503552
0.0293,0.9830434111548813,0.18305911345117054
0.0294,0.9829279936475546,0.18367677722599474
0.0295,0.9828121880286291,0.18429436847557995
0.0296,0.9826959943436052,0.18491188695602634
0.0297,0.9825794126381364,0.18552933242346253
0.0298,0.9824624429580295,0.18614670463404573
0.0299,0.9823450853492448,0.18676400334396176
0.0300,0.9822273398578955,0.1873812283094252
0.0301,0.9821092065302482,0.18799837928667945
0.0302,0.981990685412723,0.1886154560319969
0.0303,0.9818717765518928,0.18923245830167887
0.0304,0.9817524799944839,0.18984938585205594
0.0305,0.9816327957873755,0.1904662384394878
0.0306,0.9815127239776004,0.19108301582036352
0.0307,0.9813922646123441,0.1916997177511016
0.0308,0.9812714177389454,0.19231634398815
0.0309,0.9811501834048963,0.19293289428798635
0.0310,0.9810285616578417,0.19354936840711795
0.0311,0.9809065525455795,0.19416576610208192
0.0312,0.9807841561160608,0.19478208712944525
0.0313,0.9806613724173898,0.19539833124580494
0.0314,0.9805382014978234,0.1960144982077881
0.0315,0.9804146434057718,0.19663058777205203
0.0316,0.9802906981897979,0.1972465996952843
0.0317,0.9801663658986175,0.19786253373420284
0.0318,0.9800416465810997,0.19847838964555609
0.0319,0.9799165402862663,0.19909416718612305
0.0320,0.9797910470632919,0.19970986611271338
0.0321,0.979665166961504,0.2003254861821675
0.0322,0.979538900030383,0.20094102715135673
0.0323,0.9794122463195621,0.20155648877718332
0.0324,0.9792852058788274,0.20217187081658056
0.0325,0.9791577787581177,0.20278717302651292
0.0326,0.9790299650075246,0.2034023951639761
0.0327,0.9789017646772923,0.20401753698599712
0.0328,0.978773177817818,0.20463259824963448
0.0329,0.9786442044796515,0.20524757871197818
0.0330,0.9785148447134953,0.20586247813014988
0.0331,0.9783850985702044,0.20647729626130293
0.0332,0.9782549661007867,0.2070920328626225
0.0333,0.9781244473564026,0.20770668769132578
0.0334,0.9779935423883652,0.20832126050466182
0.0335,0.9778622512481402,0.20893575105991186
0.0336,0.9777305739873458,0.20955015911438934
0.0337,0.9775985106577526,0.21016448442544003
0.0338,0.9774660613112841,0.21077872675044204
0.0339,0.9773332260000162,0.21139288584680602
0.0340,0.977200004776177,0.21200696147197517
0.0341,0.9770663976921473,0.2126209533834254
0.0342,0.9769324048004605,0.21323486133866543
0.0343,0.9767980261538023,0.21384868509523677
0.0344,0.9766632618050106,0.214462424410714
0.0345,0.9765281118070761,0.21507607904270473
0.0346,0.9763925762131415,0.21568964874884972
0.0347,0.9762566550765021,0.216303133286823
0.0348,0.9761203484506052,0.21691653241433195
0.0349,0.975983656389051,0.21752984588911742
0.0350,0.9758465789455915,0.2181430734689538
0.0351,0.9757091161741309,0.21875621491164915
0.0352,0.9755712681287262,0.21936926997504522
0.0353,0.975433034863586,0.2199822384170176
0.0354,0.9752944164330715,0.22059511999547587
0.0355,0.9751554128916958,0.22120791446836358
0.0356,0.9750160242941246,0.2218206215936584
0.0357,0.9748762506951753,0.22243324112937224
0.0358,0.9747360921498175,0.22304577283355134
0.0359,0.9745955487131731,0.22365821646427633
0.0360,0.9744546204405159,0.22427057177966236
0.0361,0.9743133073872718,0.22488283853785915
0.0362,0.9741716096090189,0.22549501649705112
0.0363,0.974029527161487,0.22610710541545753
0.0364,0.9738870601005581,0.22671910505133247
0.0365,0.9737442084822662,0.22733101516296506
0.0366,0.973600972362797,0.22794283550867947
0.0367,0.9734573517984884,0.22855456584683503
0.0368,0.9733133468458299,0.2291662059358264
0.0369,0.9731689575614634,0.22977775553408356
0.0370,0.973024184002182,0.23038921440007193
0.0371,0.9728790262249313,0.23100058229229253
0.0372,0.9727334842868082,0.23161185896928205
0.0373,0.9725875582450615,0.23222304418961284
0.0374,0.972441248157092,0.2328341377118932
0.0375,0.9722945540804521,0.23344513929476732
0.0376,0.9721474760728458,0.23405604869691538
0.0377,0.972000014192129,0.23466686567705375
0.0378,0.9718521684963092,0.23527758999393503
0.0379,0.9717039390435455,0.2358882214063481
0.0380,0.9715553258921488,0.2364987596731183
0.0381,0.9714063291005814,0.23710920455310738
0.0382,0.9712569487274575,0.23771955580521384
0.0383,0.9711071848315425,0.2383298131883728
0.0384,0.9709570374717534,0.23893997646155618
0.0385,0.9708065067071592,0.23955004538377284
0.0386,0.9706555925969798,0.24016001971406856
0.0387,0.9705042952005867,0.24076989921152622
0.0388,0.9703526145775031,0.24137968363526593
0.0389,0.9702005507874035,0.241989372744445
0.0390,0.9700481038901139,0.2425989662982582
0.0391,0.9698952739456114,0.24320846405593766
0.0392,0.9697420610140247,0.24381786577675313
0.0393,0.9695884651556338,0.244427171220012
0.0394,0.9694344864308699,0.24503638014505946
0.0395,0.9692801249003157,0.24564549231127844
0.0396,0.969125380624705,0.2462545074780899
0.0397,0.9689702536649228,0.24686342540495282
