temps,x_soleil,y_soleil,x_terre,y_terre,derive_E 
0.0000,0,0,1,0,0
0.0001,0,0,1,0.0006283185307179586,0.0000007895682349382039
0.0002,0,0,0.999999605215824,0.0012566370614359172,0.0000015791360808606743
0.0003,0,0,0.9999988156477057,0.0018849553441038095,0.0000023687035367385716
0.0004,0,0,0.9999976312960347,0.002513273130671862,0.000003158270603029158
0.0005,0,0,0.9999960521613567,0.0031415901730906946,0.0000039478372797324336
0.0006,0,0,0.9999940782443728,0.0037699062233114153,0.0000047374035666197666
0.0007,0,0,0.9999917095459404,0.0043982210332857204,0.000005526969464034104
0.0008,0,0,0.9999889460670724,0.0050265343549659915,0.000006316534972204077
0.0009,0,0,0.9999857878089378,0.005654845940305393,0.000007106100089872215
0.0010,0,0,0.9999822347728613,0.006283155541257972,0.000007895664818067357
0.0011,0,0,0.9999782869603235,0.006911462909778753,0.00000868522915713245
0.0012,0,0,0.9999739443729609,0.007539767797823841,0.000009474793106267287
0.0013,0,0,0.9999692070125659,0.008168069957350511,0.000010264356665128918
0.0014,0,0,0.9999640748810864,0.008796369140317317,0.000011053919835203447
0.0015,0,0,0.9999585479806267,0.00942466509868418,0.000011843482615004773
0.0016,0,0,0.9999526263134465,0.01005295758441249,0.000012633045005104472
0.0017,0,0,0.9999463098819615,0.010681246349465205,0.000013422607005616858
0.0018,0,0,0.9999395986887434,0.011309531145806948,0.000014212168616770566
0.0019,0,0,0.9999324927365194,0.011937811725404104,0.000015001729837879701
0.0020,0,0,0.9999249920281729,0.01256608784022492,0.000015791290669058577
0.0021,0,0,0.9999170965667429,0.013194359242239597,0.000016580851109964248
0.0022,0,0,0.9999088063554245,0.0138226256834204,0.000017370411161511242
0.0023,0,0,0.9999001213975682,0.01445088691574174,0.00001815997082358524
0.0024,0,0,0.999891041696681,0.015079142691180289,0.00001894953009538603
0.0025,0,0,0.9998815672564251,0.01570739276171506,0.000019739088978056777
0.0026,0,0,0.9998716980806188,0.01633563687932752,0.000020528647470568633
0.0027,0,0,0.9998614341732363,0.01696387479600169,0.000021318205572692968
0.0028,0,0,0.9998507755384075,0.017592106263724212,0.000022107763285458622
0.0029,0,0,0.9998397221804183,0.018220331034484494,0.00002289732060829402
0.0030,0,0,0.9998282741037102,0.01884854886027477,0.0000236868775407419
0.0031,0,0,0.9998164313128808,0.019476759493090218,0.000024476434083030887
0.0032,0,0,0.9998041938126833,0.020104962684929048,0.00002526599023561825
0.0033,0,0,0.9997915616080268,0.020733158187792602,0.00002605554599816104
0.0034,0,0,0.9997785347039764,0.02136134575368546,0.000026845101370887888
0.0035,0,0,0.9997651131057527,0.02198952513461553,0.000027634656353227214
0.0036,0,0,0.9997512968187323,0.022617696082594143,0.000028424210945407654
0.0037,0,0,0.9997370858484478,0.023245858349636158,0.000029213765147657835
0.0038,0,0,0.9997224802005872,0.023874011687760058,0.000030003318959634814
0.0039,0,0,0.9997074798809946,0.024502155848988044,0.00003079287238179585
0.0040,0,0,0.9996920848956699,0.025130290585346143,0.00003158242541345505
0.0041,0,0,0.9996762952507686,0.02575841564886429,0.000032371978054612416
0.0042,0,0,0.9996601109526024,0.026386530791576438,0.00003316153030606815
0.0043,0,0,0.9996435320076384,0.02701463576552066,0.00003395108216690774
0.0044,0,0,0.9996265584224998,0.02764273032273923,0.00003474063363758844
0.0045,0,0,0.9996091902039653,0.028270814215278734,0.00003553018471708141
0.0046,0,0,0.9995914273589698,0.028898887195190168,0.00003631973540710138
0.0047,0,0,0.9995732698946035,0.029526949014529024,0.000037109285706047945
0.0048,0,0,0.9995547178181128,0.030154999425355405,0.00003789883561494994
0.0049,0,0,0.9995357711368997,0.03078303817973411,0.000038688385133007144
0.0050,0,0,0.9995164298585222,0.031411065029734744,0.000039477934260333886
0.0051,0,0,0.9994966939906937,0.03203907972743179,0.000040267482996930157
0.0052,0,0,0.9994765635412838,0.032667082024904745,0.000041057031343253226
0.0053,0,0,0.9994560385183174,0.03329507167423818,0.0000418465792986172
0.0054,0,0,0.9994351189299757,0.033923048427521876,0.00004263612686370797
0.0055,0,0,0.9994138047845953,0.03455101203685088,0.00004342567403726806
0.0056,0,0,0.9993920960906687,0.035178962254325645,0.00004421522082032632
0.0057,0,0,0.9993699928568441,0.03580689883205209,0.00004500476721196822
0.0058,0,0,0.9993474950919257,0.036434821522141725,0.000045794313213336915
0.0059,0,0,0.999324602804873,0.037062730076711736,0.00004658385882386083
0.0060,0,0,0.9993013160048018,0.037690624247885086,0.0000473734040430827
0.0061,0,0,0.9992776347009832,0.038318503787790614,0.0000481629488715741
0.0062,0,0,0.9992535589028443,0.03894636844856314,0.00004895249330853483
0.0063,0,0,0.9992290886199677,0.03957421798234354,0.00004974203735419351
0.0064,0,0,0.9992042238620922,0.040202052141278866,0.000050531581009236044
0.0065,0,0,0.9991789646391118,0.04082987067752244,0.000051321124272404953
0.0066,0,0,0.9991533109610766,0.041457673343233935,0.00005211066714438614
0.0067,0,0,0.9991272628381922,0.042085459890579505,0.000052900209625408223
0.0068,0,0,0.9991008202808201,0.04271323007173185,0.00005368975171489964
0.0069,0,0,0.9990739832994775,0.04334098363887033,0.00005447929341297469
0.0070,0,0,0.9990467519048372,0.043968720344181075,0.0000552688347190618
0.0071,0,0,0.9990191261077276,0.04459643993985705,0.00005605837563373256
0.0072,0,0,0.9989911059191332,0.04522414217809818,0.00005684791615698695
0.0073,0,0,0.998962691350194,0.04585182681111143,0.00005763745628825341
0.0074,0,0,0.9989338824122056,0.046479493591110935,0.00005842699602810351
